"(-0.001, 5.0]",0.18625863097775125
"(5.0, 10.0]",0.22841265317754347
"(10.0, 15.0]",0.2552893862563385
"(15.0, 20.0]",0.25040650406504067
"(20.0, 25.0]",0.2550733224707451
"(25.0, 30.0]",0.23777019340159272
"(30.0, 35.0]",0.21839392295170917
"(35.0, 40.0]",0.21119791666666668
"(40.0, 45.0]",0.21153288901767603
"(45.0, 50.0]",0.18754988028731046
"(50.0, 55.0]",0.17982068442985225
"(55.0, 60.0]",0.16752777060191165
"(60.0, 65.0]",0.14548831450239902
"(65.0, 70.0]",0.14974619289340102
"(70.0, 75.0]",0.1534108770826784
"(75.0, 80.0]",0.1578740157480315
"(80.0, 85.0]",0.16193853427895982
"(85.0, 90.0]",0.15610328638497653
